epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,188.505,1.24562,1.69441,0.34915,0.75563,1.36824,0.80428,0.95,0.946,0.61748,0.80428,0.95,0.946,0.80703,1.35259,1.01113,0.10758,0.8719,1.47993,0.000989715,0.000989715,0.000989715
28,195.222,1.20141,1.57137,0.37845,0.73617,1.3121,0.97766,0.95,0.99378,0.62195,0.97766,0.95,0.99378,0.85049,1.60667,1.13445,0.10135,0.9329,1.62912,0.000988912,0.000988912,0.000988912
29,202.169,1.14831,1.29978,0.29556,0.67479,1.28195,0.99321,0.95,0.98888,0.71557,0.99321,0.95,0.98888,0.86889,1.29235,1.10916,0.1098,1.31717,1.41682,0.000988079,0.000988079,0.000988079
30,209.127,1.18275,1.46066,0.32416,0.70082,1.33465,0.86468,0.975,0.95959,0.62027,0.86874,0.99285,0.96794,0.71934,1.29949,1.66422,0.11857,0.87727,1.4582,0.000987216,0.000987216,0.000987216
31,215.934,1.16991,1.4611,0.32272,0.67025,1.30382,0.94703,1,0.9908,0.68015,0.94703,1,0.9908,0.8335,1.23698,1.43041,0.09133,0.79023,1.40655,0.000986323,0.000986323,0.000986323
32,222.751,1.20729,1.37378,0.32228,0.67743,1.33763,0.94222,1,0.9908,0.72196,0.94222,1,0.9908,0.83088,1.15718,1.46772,0.08954,0.76976,1.32795,0.000985401,0.000985401,0.000985401
33,229.485,1.18744,1.15506,0.31783,0.66112,1.31008,0.88456,1,0.98069,0.63358,0.88456,1,0.98069,0.79137,1.33511,1.8338,0.08902,0.88477,1.45538,0.000984449,0.000984449,0.000984449
34,236.11,1.19751,1.41702,0.31186,0.66991,1.302,0.90745,0.98063,0.98224,0.69769,0.90745,0.98063,0.98224,0.81988,1.30342,1.34556,0.08227,1.02689,1.375,0.000983467,0.000983467,0.000983467
35,243.301,1.18649,1.28543,0.30437,0.67912,1.34463,0.98084,0.975,0.98955,0.64643,0.98084,0.975,0.97577,0.86288,1.36741,1.03443,0.07801,0.72078,1.36732,0.000982456,0.000982456,0.000982456
36,250.169,1.16277,1.46894,0.31768,0.68229,1.29529,0.97233,1,0.99329,0.66366,0.98005,1,0.995,0.91822,1.45401,0.94736,0.07859,0.82936,1.4265,0.000981415,0.000981415,0.000981415
37,257.06,1.18866,1.2118,0.28704,0.66489,1.31363,0.96305,0.95,0.99104,0.62414,0.96305,0.95,0.99104,0.886,1.54934,0.84514,0.07432,1.2408,1.51398,0.000980345,0.000980345,0.000980345
38,263.977,1.17485,0.91544,0.25566,0.63258,1.28356,0.97717,1,0.995,0.5958,0.97717,1,0.995,0.92027,1.61983,0.79049,0.0749,0.92565,1.60951,0.000979246,0.000979246,0.000979246
39,270.912,1.16583,1.1086,0.25932,0.6676,1.2944,0.99264,1,0.995,0.54559,0.99264,1,0.995,0.91062,1.80678,0.81959,0.0735,0.78482,1.73042,0.000978118,0.000978118,0.000978118
40,277.747,1.19387,1.30801,0.27718,0.69941,1.30573,0.95929,1,0.99085,0.6452,0.95929,1,0.99085,0.92451,1.5308,0.93967,0.07972,0.73875,1.58914,0.00097696,0.00097696,0.00097696
41,284.627,1.1845,1.20173,0.27752,0.70459,1.32175,0.99227,1,0.995,0.66037,0.99227,1,0.995,0.93614,1.55139,0.77992,0.07357,0.70524,1.59206,0.000975773,0.000975773,0.000975773
42,291.298,1.15233,1.40206,0.29662,0.66546,1.28554,0.97397,1,0.995,0.70227,0.97397,1,0.995,0.9179,1.3414,0.75357,0.07556,0.77071,1.39617,0.000974557,0.000974557,0.000974557
43,298.025,1.15552,1.22336,0.25383,0.65619,1.29419,0.99384,1,0.995,0.71616,0.99384,1,0.995,0.91014,1.33301,0.77207,0.08358,1.12011,1.43138,0.000973312,0.000973312,0.000973312
44,304.792,1.13743,1.18059,0.23702,0.64595,1.27485,0.94111,1,0.98643,0.73375,0.94111,1,0.98643,0.86132,1.31375,0.98902,0.08068,0.85624,1.4266,0.000972039,0.000972039,0.000972039
45,311.519,1.15868,1.10963,0.23407,0.66023,1.32099,0.98825,1,0.995,0.75159,0.98825,1,0.995,0.93551,1.23251,0.81387,0.07482,0.70159,1.36876,0.000970736,0.000970736,0.000970736
46,318.688,1.16647,1.21093,0.24361,0.64448,1.27277,0.99794,0.95,0.9848,0.72191,0.99794,0.95,0.9848,0.93064,1.21445,0.88331,0.07339,0.69184,1.35029,0.000969405,0.000969405,0.000969405
47,325.735,1.10545,1.17228,0.24325,0.64852,1.27503,0.99699,1,0.995,0.67996,0.99699,1,0.995,0.89452,1.34251,0.76301,0.05532,0.64483,1.42768,0.000968045,0.000968045,0.000968045
48,333.076,1.13076,1.12812,0.20688,0.64248,1.27612,0.77945,0.875,0.85248,0.46981,0.87205,0.975,0.98152,0.76711,1.99149,1.59553,0.05564,0.91454,1.77375,0.000966656,0.000966656,0.000966656
49,340.025,1.15854,1.13214,0.24677,0.67097,1.2762,0.99899,1,0.995,0.70683,0.99899,1,0.995,0.93482,1.24237,0.77661,0.05894,0.63313,1.34551,0.000965239,0.000965239,0.000965239
50,347.25,1.13729,1.01084,0.25385,0.65519,1.29827,0.99755,1,0.995,0.66576,0.99755,1,0.995,0.9381,1.39353,0.60033,0.057,0.61543,1.46322,0.000963794,0.000963794,0.000963794
51,354.161,1.15573,1.09346,0.21535,0.63323,1.29102,0.99344,1,0.995,0.68455,0.99344,1,0.995,0.91386,1.30756,0.7233,0.06056,0.66132,1.41714,0.00096232,0.00096232,0.00096232
52,360.883,1.14981,1.05453,0.24095,0.66337,1.3222,0.97141,1,0.99451,0.73341,0.97141,1,0.99451,0.93631,1.07235,0.65811,0.06152,0.65056,1.29902,0.000960819,0.000960819,0.000960819
53,367.435,1.08506,1.07406,0.19481,0.64129,1.25215,0.97052,1,0.99012,0.72804,0.97052,1,0.99012,0.94635,1.19349,0.64036,0.06075,0.66159,1.36005,0.000959289,0.000959289,0.000959289
54,374.312,1.10035,1.16166,0.25491,0.63313,1.26039,0.99697,1,0.995,0.69165,0.99697,1,0.995,0.94528,1.27154,0.61503,0.05859,0.62513,1.36809,0.000957731,0.000957731,0.000957731
55,381.266,1.13376,1.0375,0.21548,0.61909,1.24942,0.97249,1,0.99451,0.65464,0.97249,1,0.99451,0.92761,1.33899,0.79727,0.06347,0.62819,1.45889,0.000956145,0.000956145,0.000956145
56,388.186,1.15172,1.09421,0.24992,0.65887,1.32551,0.99565,1,0.995,0.66181,0.99565,1,0.995,0.93935,1.44577,0.6425,0.07462,0.64015,1.51037,0.000954531,0.000954531,0.000954531
57,395.201,1.25406,1.45944,0.24591,0.67058,1.34558,0.99654,1,0.995,0.68112,0.99654,1,0.995,0.92959,1.38509,0.65713,0.08709,0.63903,1.51719,0.000952889,0.000952889,0.000952889
58,402.012,1.17323,1.2695,0.21912,0.6545,1.2941,0.97495,0.97322,0.98731,0.71847,0.97495,0.97322,0.9911,0.92801,1.24211,0.85513,0.11286,0.96341,1.33937,0.00095122,0.00095122,0.00095122
